text,dialect
"""انا رايح الشغل بدري النهارده""",egyptian
"""هو لسه مجاش لحد دلوقتي""",egyptian
"""انتي هتعملي ايه بكرة؟""",egyptian
"""الجو حر اوي اليومين دول""",egyptian
"""انا مش فاضي خالص دلوقتي""",egyptian
"""هو قالك ايه امبارح؟""",egyptian
"""انا جعان وعايز اكل""",egyptian
"""هي راحت فين؟""",egyptian
"""انت ساكن فين بالظبط؟""",egyptian
"""انا مش فاهم انت قصدك ايه""",egyptian
"""هو بيهزر ولا بيتكلم بجد؟""",egyptian
"""الولد ده شاطر اوي""",egyptian
"""انا زهقت من الشغل""",egyptian
"""هو اتأخر ليه كده؟""",egyptian
"""انتي سمعاني ولا لأ؟""",egyptian
"""انا هعدي عليك بعد شوية""",egyptian
"""هو شكله تعبان""",egyptian
"""انا مش قادر اكمل""",egyptian
"""الاكل ده طعمه حلو""",egyptian
"""هو بيحب الكورة جدا""",egyptian
"""انا نسيت اقولك حاجة""",egyptian
"""هي راحت تشتري حاجات""",egyptian
"""انت ليه زعلان؟""",egyptian
"""انا مش جاي بكرة""",egyptian
"""هو ساكن قريب من هنا""",egyptian
"""انا محتاج وقت افكر""",egyptian
"""هي بتتكلم بسرعة اوي""",egyptian
"""انا مش متأكد من الموضوع""",egyptian
"""هو بيشتغل في شركة كبيرة""",egyptian
"""انا رايح اجيب قهوة""",egyptian
"""شو عم تعمل هلق؟""",levantine
"""وين رايح بهالوقت؟""",levantine
"""ليش ما اجيت مبارح؟""",levantine
"""انا كتير تعبان اليوم""",levantine
"""هدا الحكي مو مظبوط""",levantine
"""انت من وين بالأصل؟""",levantine
"""شو بدك تاكل؟""",levantine
"""انا ما فهمت عليك""",levantine
"""هلق برجع بعد شوي""",levantine
"""هي وين راحت؟""",levantine
"""انت شو رأيك بالموضوع؟""",levantine
"""الجو اليوم كتير حلو""",levantine
"""انا ما عندي وقت""",levantine
"""ليش مستعجل؟""",levantine
"""انا ناطر من زمان""",levantine
